fix,active_nozzles,shut_nozzles,min_clearance_m,buffer_m,reason
148,6,,86.03,1.5,All 6 nozzles spray. Nearest nozzle is 86.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
149,6,,85.81,1.5,All 6 nozzles spray. Nearest nozzle is 85.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
150,6,,86.08,1.5,All 6 nozzles spray. Nearest nozzle is 86.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
151,6,,86.13,1.5,All 6 nozzles spray. Nearest nozzle is 86.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
152,6,,86.19,1.5,All 6 nozzles spray. Nearest nozzle is 86.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
153,6,,86.07,1.5,All 6 nozzles spray. Nearest nozzle is 86.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
154,6,,86.03,1.5,All 6 nozzles spray. Nearest nozzle is 86.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
155,6,,86.07,1.5,All 6 nozzles spray. Nearest nozzle is 86.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
156,6,,85.69,1.5,All 6 nozzles spray. Nearest nozzle is 85.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
157,6,,85.57,1.5,All 6 nozzles spray. Nearest nozzle is 85.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
158,6,,85.27,1.5,All 6 nozzles spray. Nearest nozzle is 85.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
159,6,,85.1,1.5,All 6 nozzles spray. Nearest nozzle is 85.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
160,6,,85.24,1.5,All 6 nozzles spray. Nearest nozzle is 85.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
161,6,,85.43,1.5,All 6 nozzles spray. Nearest nozzle is 85.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
162,6,,85.35,1.5,All 6 nozzles spray. Nearest nozzle is 85.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
163,6,,85.08,1.5,All 6 nozzles spray. Nearest nozzle is 85.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
164,6,,85.1,1.5,All 6 nozzles spray. Nearest nozzle is 85.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
165,6,,84.91,1.5,All 6 nozzles spray. Nearest nozzle is 84.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
166,6,,84.92,1.5,All 6 nozzles spray. Nearest nozzle is 84.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
